"l","t",Value
"Farm-78","65","step({I,Farm-67|Farm-143|Farm-86|Farm-61|Farm-15|Farm-85|Farm-78|Farm-33|Farm-71|Farm-20})"
"Farm-78","83","step({I,Farm-18|Farm-78|Farm-146|Farm-116|Farm-62|Farm-198|Farm-115|Farm-189|Farm-112|Farm-113})"
"Farm-79","1","step({I,Farm-1|Farm-96|Farm-79|Farm-168|Farm-68|Farm-130|Farm-74|Farm-192|Farm-29|Farm-175})"
"Farm-79","11","step({I,Farm-132|Farm-107|Farm-47|Farm-79|Farm-124|Farm-95|Farm-95|Farm-144|Farm-58|Farm-77})"
"Farm-79","36","step({I,Farm-24|Farm-89|Farm-79|Farm-107|Farm-170|Farm-108|Farm-137|Farm-122|Farm-20|Farm-19})"
"Farm-79","86","step({I,Farm-101|Farm-79|Farm-79|Farm-159|Farm-142|Farm-64|Farm-195|Farm-179|Farm-141|Farm-89})"
"Farm-79","98","step({I,Farm-113|Farm-147|Farm-39|Farm-83|Farm-100|Farm-49|Farm-200|Farm-135|Farm-177|Farm-79})"
"Farm-80","8","step({I,Farm-185|Farm-17|Farm-56|Farm-2|Farm-169|Farm-130|Farm-169|Farm-53|Farm-80|Farm-111})"
"Farm-80","9","step({I,Farm-74|Farm-30|Farm-114|Farm-141|Farm-58|Farm-87|Farm-152|Farm-80|Farm-180|Farm-128})"
"Farm-80","27","step({I,Farm-82|Farm-114|Farm-69|Farm-158|Farm-83|Farm-72|Farm-80|Farm-61|Farm-156|Farm-186})"
"Farm-80","40","step({I,Farm-90|Farm-194|Farm-73|Farm-80|Farm-148|Farm-90|Farm-188|Farm-52|Farm-77|Farm-140})"
"Farm-80","60","step({I,Farm-194|Farm-20|Farm-8|Farm-97|Farm-92|Farm-48|Farm-12|Farm-25|Farm-172|Farm-80})"
"Farm-80","62","step({I,Farm-143|Farm-113|Farm-80|Farm-107|Farm-18|Farm-134|Farm-6|Farm-178|Farm-137|Farm-179})"
"Farm-80","67","step({I,Farm-20|Farm-171|Farm-80|Farm-47|Farm-118|Farm-150|Farm-122|Farm-116|Farm-35|Farm-138})"
"Farm-80","97","step({I,Farm-181|Farm-131|Farm-129|Farm-7|Farm-183|Farm-6|Farm-38|Farm-180|Farm-26|Farm-80})"
"Farm-81","26","step({I,Farm-157|Farm-198|Farm-151|Farm-1|Farm-54|Farm-83|Farm-86|Farm-60|Farm-81|Farm-25})"
"Farm-81","51","step({I,Farm-66|Farm-81|Farm-109|Farm-125|Farm-76|Farm-109|Farm-25|Farm-137|Farm-58|Farm-9})"
"Farm-81","55","step({I,Farm-62|Farm-81|Farm-127|Farm-179|Farm-87|Farm-186|Farm-119|Farm-87|Farm-119|Farm-71})"
"Farm-81","56","step({I,Farm-131|Farm-165|Farm-81|Farm-8|Farm-197|Farm-90|Farm-188|Farm-135|Farm-54|Farm-113})"
"Farm-81","69","step({I,Farm-196|Farm-116|Farm-129|Farm-73|Farm-134|Farm-115|Farm-155|Farm-181|Farm-81|Farm-180})"
"Farm-82","27","step({I,Farm-82|Farm-114|Farm-69|Farm-158|Farm-83|Farm-72|Farm-80|Farm-61|Farm-156|Farm-186})"
"Farm-82","71","step({I,Farm-195|Farm-61|Farm-16|Farm-146|Farm-196|Farm-157|Farm-50|Farm-8|Farm-82|Farm-176})"
"Farm-83","5","step({I,Farm-128|Farm-200|Farm-117|Farm-83|Farm-95|Farm-125|Farm-68|Farm-135|Farm-64|Farm-156})"
"Farm-83","10","step({I,Farm-137|Farm-90|Farm-196|Farm-24|Farm-154|Farm-83|Farm-136|Farm-50|Farm-63|Farm-194})"
"Farm-83","14","step({I,Farm-34|Farm-156|Farm-173|Farm-83|Farm-28|Farm-7|Farm-197|Farm-75|Farm-85|Farm-11})"
"Farm-83","26","step({I,Farm-157|Farm-198|Farm-151|Farm-1|Farm-54|Farm-83|Farm-86|Farm-60|Farm-81|Farm-25})"
"Farm-83","27","step({I,Farm-82|Farm-114|Farm-69|Farm-158|Farm-83|Farm-72|Farm-80|Farm-61|Farm-156|Farm-186})"
"Farm-83","31","step({I,Farm-27|Farm-156|Farm-186|Farm-144|Farm-99|Farm-94|Farm-177|Farm-98|Farm-83|Farm-35})"
"Farm-83","95","step({I,Farm-54|Farm-40|Farm-99|Farm-70|Farm-67|Farm-14|Farm-3|Farm-183|Farm-83|Farm-136})"
"Farm-83","98","step({I,Farm-113|Farm-147|Farm-39|Farm-83|Farm-100|Farm-49|Farm-200|Farm-135|Farm-177|Farm-79})"
"Farm-84","68","step({I,Farm-122|Farm-66|Farm-161|Farm-168|Farm-84|Farm-84|Farm-188|Farm-145|Farm-7|Farm-86})"
"Farm-84","90","step({I,Farm-84|Farm-7|Farm-13|Farm-170|Farm-140|Farm-47|Farm-24|Farm-9|Farm-96|Farm-118})"
"Farm-85","14","step({I,Farm-34|Farm-156|Farm-173|Farm-83|Farm-28|Farm-7|Farm-197|Farm-75|Farm-85|Farm-11})"
"Farm-85","65","step({I,Farm-67|Farm-143|Farm-86|Farm-61|Farm-15|Farm-85|Farm-78|Farm-33|Farm-71|Farm-20})"
"Farm-85","77","step({I,Farm-116|Farm-85|Farm-141|Farm-72|Farm-195|Farm-175|Farm-32|Farm-137|Farm-7|Farm-178})"
"Farm-86","20","step({I,Farm-104|Farm-1|Farm-63|Farm-86|Farm-178|Farm-136|Farm-92|Farm-97|Farm-158|Farm-46})"
"Farm-86","26","step({I,Farm-157|Farm-198|Farm-151|Farm-1|Farm-54|Farm-83|Farm-86|Farm-60|Farm-81|Farm-25})"
"Farm-86","33","step({I,Farm-19|Farm-183|Farm-17|Farm-161|Farm-176|Farm-19|Farm-86|Farm-95|Farm-117|Farm-144})"
"Farm-86","39","step({I,Farm-161|Farm-15|Farm-137|Farm-77|Farm-127|Farm-186|Farm-171|Farm-100|Farm-86|Farm-165})"
"Farm-86","48","step({I,Farm-73|Farm-101|Farm-31|Farm-86|Farm-182|Farm-2|Farm-194|Farm-139|Farm-20|Farm-58})"
"Farm-86","65","step({I,Farm-67|Farm-143|Farm-86|Farm-61|Farm-15|Farm-85|Farm-78|Farm-33|Farm-71|Farm-20})"
"Farm-86","68","step({I,Farm-122|Farm-66|Farm-161|Farm-168|Farm-84|Farm-84|Farm-188|Farm-145|Farm-7|Farm-86})"
"Farm-87","9","step({I,Farm-74|Farm-30|Farm-114|Farm-141|Farm-58|Farm-87|Farm-152|Farm-80|Farm-180|Farm-128})"
"Farm-87","28","step({I,Farm-191|Farm-3|Farm-107|Farm-61|Farm-177|Farm-51|Farm-136|Farm-163|Farm-87|Farm-151})"
"Farm-87","53","step({I,Farm-126|Farm-73|Farm-183|Farm-176|Farm-87|Farm-104|Farm-95|Farm-37|Farm-87|Farm-38})"
"Farm-87","55","step({I,Farm-62|Farm-81|Farm-127|Farm-179|Farm-87|Farm-186|Farm-119|Farm-87|Farm-119|Farm-71})"
"Farm-87","57","step({I,Farm-23|Farm-55|Farm-17|Farm-154|Farm-5|Farm-28|Farm-53|Farm-175|Farm-36|Farm-87})"
"Farm-87","89","step({I,Farm-159|Farm-103|Farm-2|Farm-28|Farm-143|Farm-119|Farm-141|Farm-73|Farm-126|Farm-87})"
"Farm-89","29","step({I,Farm-76|Farm-20|Farm-52|Farm-119|Farm-96|Farm-98|Farm-92|Farm-105|Farm-89|Farm-171})"
"Farm-89","36","step({I,Farm-24|Farm-89|Farm-79|Farm-107|Farm-170|Farm-108|Farm-137|Farm-122|Farm-20|Farm-19})"
"Farm-89","49","step({I,Farm-145|Farm-78|Farm-46|Farm-91|Farm-195|Farm-167|Farm-183|Farm-134|Farm-89|Farm-138})"
"Farm-89","86","step({I,Farm-101|Farm-79|Farm-79|Farm-159|Farm-142|Farm-64|Farm-195|Farm-179|Farm-141|Farm-89})"
"Farm-89","88","step({I,Farm-15|Farm-57|Farm-181|Farm-67|Farm-195|Farm-89|Farm-74|Farm-158|Farm-94|Farm-16})"
"Farm-90","3","step({I,Farm-44|Farm-28|Farm-65|Farm-30|Farm-45|Farm-78|Farm-181|Farm-90|Farm-123|Farm-181})"
"Farm-90","10","step({I,Farm-137|Farm-90|Farm-196|Farm-24|Farm-154|Farm-83|Farm-136|Farm-50|Farm-63|Farm-194})"
"Farm-90","13","step({I,Farm-197|Farm-53|Farm-108|Farm-90|Farm-20|Farm-71|Farm-94|Farm-169|Farm-181|Farm-8})"
"Farm-90","35","step({I,Farm-32|Farm-199|Farm-18|Farm-19|Farm-127|Farm-190|Farm-188|Farm-90|Farm-146|Farm-149})"
"Farm-90","40","step({I,Farm-90|Farm-194|Farm-73|Farm-80|Farm-148|Farm-90|Farm-188|Farm-52|Farm-77|Farm-140})"
"Farm-90","56","step({I,Farm-131|Farm-165|Farm-81|Farm-8|Farm-197|Farm-90|Farm-188|Farm-135|Farm-54|Farm-113})"
"Farm-91","6","step({I,Farm-133|Farm-3|Farm-125|Farm-135|Farm-195|Farm-176|Farm-102|Farm-12|Farm-91|Farm-4})"
"Farm-91","17","step({I,Farm-173|Farm-151|Farm-193|Farm-111|Farm-43|Farm-45|Farm-44|Farm-114|Farm-91|Farm-195})"
"Farm-91","49","step({I,Farm-145|Farm-78|Farm-46|Farm-91|Farm-195|Farm-167|Farm-183|Farm-134|Farm-89|Farm-138})"
"Farm-91","81","step({I,Farm-10|Farm-66|Farm-100|Farm-35|Farm-18|Farm-91|Farm-187|Farm-153|Farm-63|Farm-178})"
"Farm-91","94","step({I,Farm-51|Farm-91|Farm-58|Farm-185|Farm-91|Farm-176|Farm-9|Farm-108|Farm-91|Farm-66})"
"Farm-92","19","step({I,Farm-122|Farm-143|Farm-94|Farm-92|Farm-182|Farm-28|Farm-46|Farm-177|Farm-181|Farm-130})"
"Farm-92","20","step({I,Farm-104|Farm-1|Farm-63|Farm-86|Farm-178|Farm-136|Farm-92|Farm-97|Farm-158|Farm-46})"
"Farm-92","29","step({I,Farm-76|Farm-20|Farm-52|Farm-119|Farm-96|Farm-98|Farm-92|Farm-105|Farm-89|Farm-171})"
"Farm-92","60","step({I,Farm-194|Farm-20|Farm-8|Farm-97|Farm-92|Farm-48|Farm-12|Farm-25|Farm-172|Farm-80})"
"Farm-92","66","step({I,Farm-134|Farm-39|Farm-184|Farm-116|Farm-92|Farm-129|Farm-51|Farm-111|Farm-27|Farm-41})"
"Farm-92","73","step({I,Farm-139|Farm-142|Farm-120|Farm-108|Farm-92|Farm-121|Farm-131|Farm-75|Farm-134|Farm-92})"
"Farm-92","76","step({I,Farm-12|Farm-17|Farm-104|Farm-152|Farm-7|Farm-92|Farm-165|Farm-134|Farm-110|Farm-118})"
"Farm-93","22","step({I,Farm-135|Farm-56|Farm-35|Farm-141|Farm-93|Farm-169|Farm-41|Farm-33|Farm-25|Farm-145})"
"Farm-93","47","step({I,Farm-136|Farm-128|Farm-110|Farm-55|Farm-30|Farm-172|Farm-128|Farm-60|Farm-93|Farm-5})"
"Farm-93","50","step({I,Farm-6|Farm-184|Farm-109|Farm-199|Farm-77|Farm-162|Farm-93|Farm-166|Farm-108|Farm-178})"
"Farm-93","82","step({I,Farm-93|Farm-53|Farm-116|Farm-39|Farm-149|Farm-188|Farm-132|Farm-145|Farm-33|Farm-150})"
"Farm-94","13","step({I,Farm-197|Farm-53|Farm-108|Farm-90|Farm-20|Farm-71|Farm-94|Farm-169|Farm-181|Farm-8})"
"Farm-94","19","step({I,Farm-122|Farm-143|Farm-94|Farm-92|Farm-182|Farm-28|Farm-46|Farm-177|Farm-181|Farm-130})"
"Farm-94","31","step({I,Farm-27|Farm-156|Farm-186|Farm-144|Farm-99|Farm-94|Farm-177|Farm-98|Farm-83|Farm-35})"
"Farm-94","88","step({I,Farm-15|Farm-57|Farm-181|Farm-67|Farm-195|Farm-89|Farm-74|Farm-158|Farm-94|Farm-16})"
"Farm-95","2","step({I,Farm-161|Farm-105|Farm-136|Farm-145|Farm-117|Farm-108|Farm-152|Farm-22|Farm-95|Farm-38})"
"Farm-95","5","step({I,Farm-128|Farm-200|Farm-117|Farm-83|Farm-95|Farm-125|Farm-68|Farm-135|Farm-64|Farm-156})"
"Farm-95","11","step({I,Farm-132|Farm-107|Farm-47|Farm-79|Farm-124|Farm-95|Farm-95|Farm-144|Farm-58|Farm-77})"
"Farm-95","21","step({I,Farm-63|Farm-192|Farm-95|Farm-143|Farm-31|Farm-147|Farm-130|Farm-43|Farm-38|Farm-162})"
"Farm-95","33","step({I,Farm-19|Farm-183|Farm-17|Farm-161|Farm-176|Farm-19|Farm-86|Farm-95|Farm-117|Farm-144})"
"Farm-95","53","step({I,Farm-126|Farm-73|Farm-183|Farm-176|Farm-87|Farm-104|Farm-95|Farm-37|Farm-87|Farm-38})"
"Farm-95","59","step({I,Farm-2|Farm-19|Farm-124|Farm-77|Farm-20|Farm-197|Farm-180|Farm-55|Farm-95|Farm-96})"
"Farm-96","start","step({I,Farm-169|Farm-172|Farm-170|Farm-125|Farm-77|Farm-60|Farm-12|Farm-55|Farm-96|Farm-163})"
"Farm-96","1","step({I,Farm-1|Farm-96|Farm-79|Farm-168|Farm-68|Farm-130|Farm-74|Farm-192|Farm-29|Farm-175})"
"Farm-96","18","step({I,Farm-18|Farm-12|Farm-98|Farm-177|Farm-196|Farm-124|Farm-109|Farm-171|Farm-149|Farm-96})"
"Farm-96","29","step({I,Farm-76|Farm-20|Farm-52|Farm-119|Farm-96|Farm-98|Farm-92|Farm-105|Farm-89|Farm-171})"
"Farm-96","59","step({I,Farm-2|Farm-19|Farm-124|Farm-77|Farm-20|Farm-197|Farm-180|Farm-55|Farm-95|Farm-96})"
"Farm-96","78","step({I,Farm-103|Farm-26|Farm-125|Farm-48|Farm-127|Farm-139|Farm-22|Farm-96|Farm-118|Farm-51})"
"Farm-96","90","step({I,Farm-84|Farm-7|Farm-13|Farm-170|Farm-140|Farm-47|Farm-24|Farm-9|Farm-96|Farm-118})"
"Farm-97","7","step({I,Farm-196|Farm-72|Farm-97|Farm-138|Farm-177|Farm-184|Farm-44|Farm-114|Farm-174|Farm-102})"
"Farm-97","20","step({I,Farm-104|Farm-1|Farm-63|Farm-86|Farm-178|Farm-136|Farm-92|Farm-97|Farm-158|Farm-46})"
"Farm-97","60","step({I,Farm-194|Farm-20|Farm-8|Farm-97|Farm-92|Farm-48|Farm-12|Farm-25|Farm-172|Farm-80})"
"Farm-97","70","step({I,Farm-138|Farm-47|Farm-108|Farm-155|Farm-150|Farm-145|Farm-97|Farm-39|Farm-42|Farm-108})"
"Farm-97","96","step({I,Farm-41|Farm-186|Farm-25|Farm-97|Farm-19|Farm-46|Farm-138|Farm-106|Farm-111|Farm-167})"
"Farm-98","15","step({I,Farm-4|Farm-47|Farm-153|Farm-189|Farm-150|Farm-68|Farm-98|Farm-68|Farm-36|Farm-35})"
"Farm-98","18","step({I,Farm-18|Farm-12|Farm-98|Farm-177|Farm-196|Farm-124|Farm-109|Farm-171|Farm-149|Farm-96})"
"Farm-98","25","step({I,Farm-176|Farm-99|Farm-144|Farm-98|Farm-142|Farm-100|Farm-169|Farm-39|Farm-155|Farm-195})"
"Farm-98","29","step({I,Farm-76|Farm-20|Farm-52|Farm-119|Farm-96|Farm-98|Farm-92|Farm-105|Farm-89|Farm-171})"
"Farm-98","31","step({I,Farm-27|Farm-156|Farm-186|Farm-144|Farm-99|Farm-94|Farm-177|Farm-98|Farm-83|Farm-35})"
"Farm-98","41","step({I,Farm-25|Farm-49|Farm-46|Farm-98|Farm-179|Farm-72|Farm-78|Farm-184|Farm-23|Farm-127})"
"Farm-99","25","step({I,Farm-176|Farm-99|Farm-144|Farm-98|Farm-142|Farm-100|Farm-169|Farm-39|Farm-155|Farm-195})"
"Farm-99","31","step({I,Farm-27|Farm-156|Farm-186|Farm-144|Farm-99|Farm-94|Farm-177|Farm-98|Farm-83|Farm-35})"
"Farm-99","38","step({I,Farm-99|Farm-197|Farm-49|Farm-75|Farm-10|Farm-63|Farm-167|Farm-162|Farm-129|Farm-74})"
"Farm-99","87","step({I,Farm-133|Farm-151|Farm-121|Farm-100|Farm-24|Farm-157|Farm-99|Farm-171|Farm-27|Farm-194})"
"Farm-99","92","step({I,Farm-174|Farm-159|Farm-7|Farm-140|Farm-10|Farm-200|Farm-157|Farm-47|Farm-99|Farm-149})"
"Farm-99","95","step({I,Farm-54|Farm-40|Farm-99|Farm-70|Farm-67|Farm-14|Farm-3|Farm-183|Farm-83|Farm-136})"
"Farm-100","25","step({I,Farm-176|Farm-99|Farm-144|Farm-98|Farm-142|Farm-100|Farm-169|Farm-39|Farm-155|Farm-195})"
"Farm-100","39","step({I,Farm-161|Farm-15|Farm-137|Farm-77|Farm-127|Farm-186|Farm-171|Farm-100|Farm-86|Farm-165})"
"Farm-100","81","step({I,Farm-10|Farm-66|Farm-100|Farm-35|Farm-18|Farm-91|Farm-187|Farm-153|Farm-63|Farm-178})"
"Farm-100","87","step({I,Farm-133|Farm-151|Farm-121|Farm-100|Farm-24|Farm-157|Farm-99|Farm-171|Farm-27|Farm-194})"
"Farm-100","98","step({I,Farm-113|Farm-147|Farm-39|Farm-83|Farm-100|Farm-49|Farm-200|Farm-135|Farm-177|Farm-79})"
"Farm-101","16","step({I,Farm-175|Farm-189|Farm-122|Farm-120|Farm-157|Farm-101|Farm-11|Farm-140|Farm-199|Farm-54})"
"Farm-101","34","step({I,Farm-147|Farm-154|Farm-2|Farm-62|Farm-47|Farm-101|Farm-191|Farm-112|Farm-20|Farm-125})"
"Farm-101","42","step({I,Farm-75|Farm-65|Farm-137|Farm-160|Farm-101|Farm-60|Farm-178|Farm-71|Farm-148|Farm-112})"
"Farm-101","48","step({I,Farm-73|Farm-101|Farm-31|Farm-86|Farm-182|Farm-2|Farm-194|Farm-139|Farm-20|Farm-58})"
"Farm-101","86","step({I,Farm-101|Farm-79|Farm-79|Farm-159|Farm-142|Farm-64|Farm-195|Farm-179|Farm-141|Farm-89})"
"Farm-102","6","step({I,Farm-133|Farm-3|Farm-125|Farm-135|Farm-195|Farm-176|Farm-102|Farm-12|Farm-91|Farm-4})"
"Farm-102","7","step({I,Farm-196|Farm-72|Farm-97|Farm-138|Farm-177|Farm-184|Farm-44|Farm-114|Farm-174|Farm-102})"
"Farm-102","30","step({I,Farm-166|Farm-102|Farm-18|Farm-133|Farm-42|Farm-170|Farm-137|Farm-36|Farm-14|Farm-2})"
"Farm-103","24","step({I,Farm-2|Farm-167|Farm-197|Farm-141|Farm-37|Farm-103|Farm-117|Farm-158|Farm-122|Farm-44})"
"Farm-103","37","step({I,Farm-18|Farm-48|Farm-168|Farm-105|Farm-103|Farm-130|Farm-109|Farm-7|Farm-117|Farm-155})"
"Farm-103","46","step({I,Farm-194|Farm-34|Farm-181|Farm-66|Farm-178|Farm-103|Farm-103|Farm-78|Farm-107|Farm-189})"
"Farm-103","64","step({I,Farm-55|Farm-2|Farm-5|Farm-29|Farm-103|Farm-45|Farm-74|Farm-12|Farm-183|Farm-177})"
"Farm-103","78","step({I,Farm-103|Farm-26|Farm-125|Farm-48|Farm-127|Farm-139|Farm-22|Farm-96|Farm-118|Farm-51})"
"Farm-103","85","step({I,Farm-152|Farm-51|Farm-187|Farm-199|Farm-33|Farm-103|Farm-173|Farm-70|Farm-49|Farm-147})"
"Farm-103","89","step({I,Farm-159|Farm-103|Farm-2|Farm-28|Farm-143|Farm-119|Farm-141|Farm-73|Farm-126|Farm-87})"
"Farm-104","20","step({I,Farm-104|Farm-1|Farm-63|Farm-86|Farm-178|Farm-136|Farm-92|Farm-97|Farm-158|Farm-46})"
"Farm-104","43","step({I,Farm-110|Farm-104|Farm-70|Farm-5|Farm-30|Farm-27|Farm-142|Farm-142|Farm-123|Farm-135})"
"Farm-104","53","step({I,Farm-126|Farm-73|Farm-183|Farm-176|Farm-87|Farm-104|Farm-95|Farm-37|Farm-87|Farm-38})"
"Farm-104","76","step({I,Farm-12|Farm-17|Farm-104|Farm-152|Farm-7|Farm-92|Farm-165|Farm-134|Farm-110|Farm-118})"
"Farm-105","2","step({I,Farm-161|Farm-105|Farm-136|Farm-145|Farm-117|Farm-108|Farm-152|Farm-22|Farm-95|Farm-38})"
"Farm-105","29","step({I,Farm-76|Farm-20|Farm-52|Farm-119|Farm-96|Farm-98|Farm-92|Farm-105|Farm-89|Farm-171})"
"Farm-105","37","step({I,Farm-18|Farm-48|Farm-168|Farm-105|Farm-103|Farm-130|Farm-109|Farm-7|Farm-117|Farm-155})"
"Farm-105","54","step({I,Farm-105|Farm-65|Farm-1|Farm-120|Farm-130|Farm-2|Farm-195|Farm-133|Farm-59|Farm-41})"
"Farm-105","80","step({I,Farm-10|Farm-38|Farm-105|Farm-76|Farm-49|Farm-137|Farm-134|Farm-193|Farm-176|Farm-200})"
"Farm-106","96","step({I,Farm-41|Farm-186|Farm-25|Farm-97|Farm-19|Farm-46|Farm-138|Farm-106|Farm-111|Farm-167})"
"Farm-106","99","step({I,Farm-51|Farm-32|Farm-158|Farm-195|Farm-13|Farm-21|Farm-64|Farm-106|Farm-141|Farm-192})"
"Farm-107","11","step({I,Farm-132|Farm-107|Farm-47|Farm-79|Farm-124|Farm-95|Farm-95|Farm-144|Farm-58|Farm-77})"
"Farm-107","28","step({I,Farm-191|Farm-3|Farm-107|Farm-61|Farm-177|Farm-51|Farm-136|Farm-163|Farm-87|Farm-151})"
"Farm-107","36","step({I,Farm-24|Farm-89|Farm-79|Farm-107|Farm-170|Farm-108|Farm-137|Farm-122|Farm-20|Farm-19})"
"Farm-107","46","step({I,Farm-194|Farm-34|Farm-181|Farm-66|Farm-178|Farm-103|Farm-103|Farm-78|Farm-107|Farm-189})"
"Farm-107","62","step({I,Farm-143|Farm-113|Farm-80|Farm-107|Farm-18|Farm-134|Farm-6|Farm-178|Farm-137|Farm-179})"
"Farm-108","2","step({I,Farm-161|Farm-105|Farm-136|Farm-145|Farm-117|Farm-108|Farm-152|Farm-22|Farm-95|Farm-38})"
"Farm-108","13","step({I,Farm-197|Farm-53|Farm-108|Farm-90|Farm-20|Farm-71|Farm-94|Farm-169|Farm-181|Farm-8})"
"Farm-108","32","step({I,Farm-157|Farm-112|Farm-32|Farm-29|Farm-130|Farm-108|Farm-66|Farm-30|Farm-32|Farm-26})"
"Farm-108","36","step({I,Farm-24|Farm-89|Farm-79|Farm-107|Farm-170|Farm-108|Farm-137|Farm-122|Farm-20|Farm-19})"
"Farm-108","50","step({I,Farm-6|Farm-184|Farm-109|Farm-199|Farm-77|Farm-162|Farm-93|Farm-166|Farm-108|Farm-178})"
"Farm-108","70","step({I,Farm-138|Farm-47|Farm-108|Farm-155|Farm-150|Farm-145|Farm-97|Farm-39|Farm-42|Farm-108})"
"Farm-108","73","step({I,Farm-139|Farm-142|Farm-120|Farm-108|Farm-92|Farm-121|Farm-131|Farm-75|Farm-134|Farm-92})"
"Farm-108","94","step({I,Farm-51|Farm-91|Farm-58|Farm-185|Farm-91|Farm-176|Farm-9|Farm-108|Farm-91|Farm-66})"
"Farm-109","18","step({I,Farm-18|Farm-12|Farm-98|Farm-177|Farm-196|Farm-124|Farm-109|Farm-171|Farm-149|Farm-96})"
"Farm-109","37","step({I,Farm-18|Farm-48|Farm-168|Farm-105|Farm-103|Farm-130|Farm-109|Farm-7|Farm-117|Farm-155})"
"Farm-109","50","step({I,Farm-6|Farm-184|Farm-109|Farm-199|Farm-77|Farm-162|Farm-93|Farm-166|Farm-108|Farm-178})"
"Farm-109","51","step({I,Farm-66|Farm-81|Farm-109|Farm-125|Farm-76|Farm-109|Farm-25|Farm-137|Farm-58|Farm-9})"
"Farm-110","43","step({I,Farm-110|Farm-104|Farm-70|Farm-5|Farm-30|Farm-27|Farm-142|Farm-142|Farm-123|Farm-135})"
"Farm-110","47","step({I,Farm-136|Farm-128|Farm-110|Farm-55|Farm-30|Farm-172|Farm-128|Farm-60|Farm-93|Farm-5})"
"Farm-110","76","step({I,Farm-12|Farm-17|Farm-104|Farm-152|Farm-7|Farm-92|Farm-165|Farm-134|Farm-110|Farm-118})"
"Farm-110","91","step({I,Farm-185|Farm-74|Farm-187|Farm-110|Farm-115|Farm-36|Farm-24|Farm-49|Farm-25|Farm-45})"
"Farm-111","8","step({I,Farm-185|Farm-17|Farm-56|Farm-2|Farm-169|Farm-130|Farm-169|Farm-53|Farm-80|Farm-111})"
"Farm-111","12","step({I,Farm-176|Farm-21|Farm-19|Farm-71|Farm-111|Farm-7|Farm-194|Farm-65|Farm-45|Farm-29})"
"Farm-111","17","step({I,Farm-173|Farm-151|Farm-193|Farm-111|Farm-43|Farm-45|Farm-44|Farm-114|Farm-91|Farm-195})"
"Farm-111","66","step({I,Farm-134|Farm-39|Farm-184|Farm-116|Farm-92|Farm-129|Farm-51|Farm-111|Farm-27|Farm-41})"
"Farm-111","75","step({I,Farm-70|Farm-18|Farm-121|Farm-143|Farm-32|Farm-69|Farm-146|Farm-133|Farm-171|Farm-111})"
"Farm-111","96","step({I,Farm-41|Farm-186|Farm-25|Farm-97|Farm-19|Farm-46|Farm-138|Farm-106|Farm-111|Farm-167})"
"Farm-112","32","step({I,Farm-157|Farm-112|Farm-32|Farm-29|Farm-130|Farm-108|Farm-66|Farm-30|Farm-32|Farm-26})"
"Farm-112","34","step({I,Farm-147|Farm-154|Farm-2|Farm-62|Farm-47|Farm-101|Farm-191|Farm-112|Farm-20|Farm-125})"
"Farm-112","42","step({I,Farm-75|Farm-65|Farm-137|Farm-160|Farm-101|Farm-60|Farm-178|Farm-71|Farm-148|Farm-112})"
"Farm-112","83","step({I,Farm-18|Farm-78|Farm-146|Farm-116|Farm-62|Farm-198|Farm-115|Farm-189|Farm-112|Farm-113})"
"Farm-113","52","step({I,Farm-22|Farm-64|Farm-50|Farm-113|Farm-182|Farm-117|Farm-120|Farm-48|Farm-117|Farm-30})"
"Farm-113","56","step({I,Farm-131|Farm-165|Farm-81|Farm-8|Farm-197|Farm-90|Farm-188|Farm-135|Farm-54|Farm-113})"
"Farm-113","62","step({I,Farm-143|Farm-113|Farm-80|Farm-107|Farm-18|Farm-134|Farm-6|Farm-178|Farm-137|Farm-179})"
"Farm-113","83","step({I,Farm-18|Farm-78|Farm-146|Farm-116|Farm-62|Farm-198|Farm-115|Farm-189|Farm-112|Farm-113})"
"Farm-113","98","step({I,Farm-113|Farm-147|Farm-39|Farm-83|Farm-100|Farm-49|Farm-200|Farm-135|Farm-177|Farm-79})"
"Farm-114","7","step({I,Farm-196|Farm-72|Farm-97|Farm-138|Farm-177|Farm-184|Farm-44|Farm-114|Farm-174|Farm-102})"
"Farm-114","9","step({I,Farm-74|Farm-30|Farm-114|Farm-141|Farm-58|Farm-87|Farm-152|Farm-80|Farm-180|Farm-128})"
"Farm-114","17","step({I,Farm-173|Farm-151|Farm-193|Farm-111|Farm-43|Farm-45|Farm-44|Farm-114|Farm-91|Farm-195})"
"Farm-114","27","step({I,Farm-82|Farm-114|Farm-69|Farm-158|Farm-83|Farm-72|Farm-80|Farm-61|Farm-156|Farm-186})"
"Farm-115","69","step({I,Farm-196|Farm-116|Farm-129|Farm-73|Farm-134|Farm-115|Farm-155|Farm-181|Farm-81|Farm-180})"
"Farm-115","83","step({I,Farm-18|Farm-78|Farm-146|Farm-116|Farm-62|Farm-198|Farm-115|Farm-189|Farm-112|Farm-113})"
"Farm-115","91","step({I,Farm-185|Farm-74|Farm-187|Farm-110|Farm-115|Farm-36|Farm-24|Farm-49|Farm-25|Farm-45})"
"Farm-116","66","step({I,Farm-134|Farm-39|Farm-184|Farm-116|Farm-92|Farm-129|Farm-51|Farm-111|Farm-27|Farm-41})"
"Farm-116","67","step({I,Farm-20|Farm-171|Farm-80|Farm-47|Farm-118|Farm-150|Farm-122|Farm-116|Farm-35|Farm-138})"
